# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: net runoff [mol d^-1]
# Region: surface domain outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: max ponded depth [m]
# Region: surface domain
# Reduction: maximum
# Variable: surface-ponded_depth
# Number of Vectors: 1
# =============================================================================
"time [d]","net runoff [mol d^-1]","surface water content [mol]","subsurface water content [mol]","max ponded depth [m]"
1.340140589288e+00,1.659342321051e+07,4.420396867797e+09,9.425640598106e+12,4.058055452640e-01
1.360231619471e+00,1.230022963291e+07,4.497750492753e+09,9.425619028952e+12,4.053328507508e-01
1.375299892109e+00,9.144730877863e+06,4.556432709193e+09,9.425602271587e+12,4.049368712194e-01
1.386601096587e+00,6.813743711728e+06,4.600735692951e+09,9.425589455322e+12,4.078247512350e-01
1.400727602184e+00,8.447968309045e+06,4.656618996845e+09,9.425572999554e+12,4.159487056364e-01
1.411322481383e+00,6.297412950509e+06,4.698818096190e+09,9.425560410677e+12,4.220602900548e-01
1.421917360581e+00,6.259189528148e+06,4.741065575216e+09,9.425547812132e+12,4.281895782248e-01
1.435160959579e+00,7.764897391322e+06,4.793903726686e+09,9.425532094529e+12,4.358772319406e-01
1.451715458326e+00,9.614997721578e+06,4.859917630284e+09,9.425512570585e+12,4.455244309917e-01
1.468269957073e+00,9.525139328547e+06,4.926607371778e+09,9.425492459695e+12,4.552060912324e-01
1.484824455821e+00,9.436575132878e+06,4.993947163052e+09,9.425471788472e+12,4.649191932760e-01
1.505517579255e+00,1.165987652335e+07,5.078437436027e+09,9.425445769170e+12,4.771045846322e-01
1.531383983547e+00,1.436775647760e+07,5.184266916032e+09,9.425413237585e+12,4.923957266065e-01
1.557250387840e+00,1.416604709903e+07,5.290590258050e+09,9.425380412617e+12,5.077366850581e-01
1.589583393206e+00,1.740134333879e+07,5.425467793407e+09,9.425337714245e+12,5.269754723713e-01
1.621916398571e+00,1.710248037215e+07,5.560902312604e+09,9.425294758128e+12,5.462610678995e-01
1.654249403937e+00,1.680890469534e+07,5.696561270212e+09,9.425251870573e+12,5.655791223643e-01
1.686582409303e+00,1.651912675416e+07,5.832449716979e+09,9.425209046291e+12,5.849164674735e-01
1.718915414669e+00,1.623239652306e+07,5.968548398016e+09,9.425166295665e+12,6.042609160453e-01
1.751248420035e+00,1.594856433873e+07,6.106065405736e+09,9.425122410767e+12,6.236010979150e-01
1.783581425400e+00,1.566787091638e+07,6.243522402815e+09,9.425078865523e+12,6.429263192528e-01
1.807831179425e+00,1.159475884850e+07,6.347036375620e+09,9.425045942072e+12,6.574057468801e-01
1.832080933449e+00,1.144037121846e+07,6.451741409655e+09,9.425011982509e+12,6.718668271626e-01
1.856330687473e+00,1.128796038998e+07,6.557032427713e+09,9.424977587563e+12,6.863057270055e-01
1.880580441498e+00,1.113775418701e+07,6.662722691030e+09,9.424942940595e+12,7.007186444292e-01
1.904830195522e+00,1.098990427266e+07,6.768192763770e+09,9.424908666821e+12,7.151018070027e-01
1.929079949546e+00,1.084456253055e+07,6.874903641029e+09,9.424873297408e+12,7.294514659432e-01
1.953329703571e+00,1.070187646101e+07,6.982359408442e+09,9.424837326962e+12,7.437638871816e-01
1.977579457595e+00,1.056195957429e+07,7.089428783314e+09,9.424801881074e+12,7.580353377665e-01
2.007891650125e+00,1.298934442058e+07,7.223893708685e+09,9.424757159493e+12,7.758060765641e-01
2.038203842656e+00,1.278215552345e+07,7.359212262780e+09,9.424711791122e+12,7.935003431855e-01
2.068516035186e+00,1.258087222320e+07,7.494757371700e+09,9.424666390530e+12,8.111102865158e-01
2.098828227717e+00,1.238524729048e+07,7.631237514038e+09,9.424620257928e+12,8.286280248687e-01
2.129140420247e+00,1.219479401553e+07,7.767721252312e+09,9.424574311132e+12,8.460454713551e-01
2.159452612777e+00,1.200893705881e+07,7.904420034491e+09,9.424528335126e+12,8.633544056646e-01
2.189764805308e+00,1.182712220602e+07,8.043072978419e+09,9.424480585344e+12,8.805463277294e-01
2.220076997838e+00,1.164892114816e+07,8.183000687261e+09,9.424431740438e+12,8.976124383207e-01
2.242811142236e+00,8.637991905656e+06,8.288031885883e+09,9.424395118264e+12,9.103342244506e-01
2.265545286634e+00,8.540674709444e+06,8.392920453436e+09,9.424358736506e+12,9.229747045045e-01
2.282595894932e+00,6.351391406328e+06,8.472196838820e+09,9.424330895313e+12,9.324062396943e-01
2.299646503231e+00,6.297865447547e+06,8.551290521769e+09,9.424303290041e+12,9.417874913866e-01
2.316697111529e+00,6.244947340730e+06,8.631068580830e+09,9.424275053651e+12,9.511169086379e-01
2.333747719827e+00,6.192663747328e+06,8.710751799201e+09,9.424246964631e+12,9.603928618381e-01
2.346535676051e+00,4.615384251049e+06,8.770635464875e+09,9.424225805156e+12,9.673182869189e-01
2.362520621331e+00,5.724287621850e+06,8.845355933735e+09,9.424199535783e+12,9.759253636844e-01
2.382501802930e+00,7.086281838958e+06,8.938577649289e+09,9.424166946702e+12,9.866054098817e-01
2.413722399180e+00,1.090841858674e+07,9.083042405984e+09,9.424117383850e+12,1.003100049408e+00
2.444942995429e+00,1.074994680986e+07,9.226600085356e+09,9.424068885945e+12,1.019387873970e+00
2.476163591679e+00,1.059720450155e+07,9.368512063968e+09,9.424022187145e+12,1.035455652465e+00
2.515189336991e+00,1.301936679305e+07,9.544392008616e+09,9.423965550577e+12,1.055185837991e+00
